Trial_ID,Scenario,Lane_Type,Peak_Speed_Variance,Amplification_Factor,Settling_Time_sec
68,4,LAR_1,11.0244,2.9273,26.4333
68,4,LAR_2,9.2282,2.9273,23.1833
68,4,LAR_3,8.2637,2.9273,21.5333
68,4,LAR_4,7.8615,2.9273,20.7500
68,4,LAR_5,7.7516,2.9273,20.4000
69,4,Human,13.6573,1.0000,60.0167
69,4,LAR_1,11.4090,2.0440,27.8333
69,4,LAR_2,9.5667,2.0440,24.4500
69,4,LAR_3,8.6638,2.0440,22.7333
69,4,LAR_4,8.2739,2.0440,21.9167
69,4,LAR_5,8.1620,2.0440,21.5500
70,4,Human,12.3772,1.0000,60.0167
70,4,LAR_1,11.6457,2.0828,28.3667
70,4,LAR_2,9.7704,2.0828,24.9167
70,4,LAR_3,8.8698,2.0828,23.1500
70,4,LAR_4,8.4909,2.0828,22.3333
70,4,LAR_5,8.3798,2.0828,21.9500
